,track_uri,artist_name,artist_id,artist_popularity,artist_genres,song_title,album
0,spotify:track:5jla2fhvErKAiUHG3fnRuv,Dennis Brown,0UmBaQJflaHddKtf1lrA6F,47,"['lovers rock', 'reggae', 'roots reggae']",Money In My Pocket,Words Of Wisdom
1,spotify:track:6A9mKXlFRPMPem6ygQSt7z,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,76,"['reggae', 'roots reggae']",Three Little Birds,Exodus (Deluxe Edition)
2,spotify:track:5jRjW5b2MCd2oOo4LlVn4e,I Wayne,3HQIkVkhoARQMb0XlvyUKL,43,"['dancehall', 'lovers rock', 'roots reggae']",Living In Love,Universal Message Vol. 3
3,spotify:track:3u25dhBZ80h0TFewO29Wqb,I Wayne,3HQIkVkhoARQMb0XlvyUKL,43,"['dancehall', 'lovers rock', 'roots reggae']",Cant Satisfy Her,Lava Ground
4,spotify:track:1zCWsGBnVW2OQ4Jix5POvT,I Wayne,3HQIkVkhoARQMb0XlvyUKL,43,"['dancehall', 'lovers rock', 'roots reggae']",Real and Clean,The Biggest Reggae One Drop Anthems 2011
5,spotify:track:1Rvl8qsKJurfFTyWLBI9ib,Big Mountain,0Jeckitay8SbvKwqAzWuYH,53,"['reggae', 'reggae fusion']","Baby, I Love Your Way",The Best of Big Mountain
6,spotify:track:6fWfZsU6TxFrqecqYmsWyB,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,76,"['reggae', 'roots reggae']",Jamming - US Version,Legend (Rarities Edition)
7,spotify:track:1SssFw74DdHVjRa6ADggdD,Inner Circle,5os0Ltvz8Q8BvXOPOd1frx,56,"['reggae', 'reggae fusion']",Sweat (A La La La La Long),Blazzin' Fire
8,spotify:track:1ZPsdTkzhDeHjA5c2Rnt2I,Ziggy Marley,0o0rlxlC3ApLWsxFkUjMXc,52,"['reggae', 'roots reggae']",Beach In Hawaii,Love Is My Religion
9,spotify:track:1nw8lTaFu9kphHRNy67lXa,The Wailers,6uSKeCyQEhvPC2NODgiqFE,54,"['reggae', 'roots reggae', 'ska']","Get Up, Stand Up",Legend (The Definitive Remasters)
10,spotify:track:48HwknWByfac0fdNyYyQDg,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,76,"['reggae', 'roots reggae']",Buffalo Soldier,Bob Marley 3CD
11,spotify:track:34pB4FSvt545dwYbpbRkgd,Israel Vibration,2Y06xyHPovQ8DWLyVIpSJK,49,"['reggae', 'roots reggae']",Back Staba,Stamina
12,spotify:track:4cRKRoRfVKEulJuzxfrGwL,Israel Vibration,2Y06xyHPovQ8DWLyVIpSJK,49,"['reggae', 'roots reggae']",Herb Is The Healing,Stamina
13,spotify:track:6Fe3Flc9SjE03pqwD6PVQl,311,41Q0HrwWBtuUkJc7C1Rp6K,58,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion']",Amber,From Chaos
14,spotify:track:7LjmwVHnGqRsDvFCf2FfSt,Beres Hammond & Zap Pow,0o9mP6OaZCcKVfkhXi54KL,20,[],Last War,Can't Stop A Man
15,spotify:track:25ugoarRZ6IaZegrjNxGOx,The Wailers,6uSKeCyQEhvPC2NODgiqFE,54,"['reggae', 'roots reggae', 'ska']","Get Up, Stand Up",Burnin' (Deluxe Edition)
16,spotify:track:77DMJWGzzpLk8Fzd2jpqTI,Junior Kelly,20aXKBdnVocEWJQjDyddN9,39,"['dancehall', 'lovers rock', 'modern reggae', 'reggae', 'roots reggae']",Rasta Should Be Deeper,Tough Life
17,spotify:track:3sbBOn0ifcgoX3MfaTeFKr,Alborosie,78u1jLVBjPSXQVmHBV43yG,54,"['reggae', 'roots reggae']",Still Blazing,Soul Pirate
18,spotify:track:73lYI49LhfsscO33ohrGN0,Peter Tosh,0oea1hwGMfUxZbLxJc1XUN,52,"['reggae', 'roots reggae']",Legalize It,Legalize It (Legacy Edition)
19,spotify:track:6dhaX8fxmnXNZuOxmxyrvD,Skegss,3SGLeWc7J5Ve0CinAOrb3a,48,"['australian surf rock', 'indie surf']",L.S.D,L.S.D
20,spotify:track:4jvxHT21eXgvjiPtCxH7Mx,The Key of Awesome,5ERN31YaTCf5K7SRUTgOgm,27,"['antiviral pop', 'parody']",Shark Reggae,Reggae Shark
