,artist_name,artist_genre,artist_popularity,artist_id,artist_top_tracks
0,SOJA,"['east coast reggae', 'reggae']",58,2vaWvC8suCFkRXejDOK7EE,"['True Love', 'You and Me', 'Rest of My Life', 'Everything Changes - feat. Dread Mar I', 'Here I Am']"
1,Tribal Seeds,"['reggae rock', 'west coast reggae']",53,7jgZFR40bWjwOrRCOZFB02,"['Dawn of Time', 'In Your Eyes', 'The Garden', 'Ruined', 'Moonlight']"
2,Rebelution,['reggae rock'],58,2WjvvwAX0mdWwq3aFuUdtc,"['Feeling Alright', 'Lazy Afternoon', 'Count Me In', 'Safe and Sound', 'Fade Away']"
3,Slightly Stoopid,"['reggae fusion', 'reggae rock']",60,6MxlVTY6PmY8Nyn16fvxtb,"['Closer to the Sun', 'Collie Man', 'World on Fire (feat. Slightly Stoopid)', 'Way of Life (with Slightly Stoopid)', '2am']"
4,Iration,['reggae rock'],54,0q9lPhJHW5R9J7RXIJRbTk,"['Time Bomb', 'Summer Nights', 'Falling', 'Wait And See', 'Lost And Found']"
5,The Expendables,['reggae rock'],45,2OpHxx1SArSMlBrIMM0aV9,"['Bowl For Two', 'Sacrifice', 'Let Her Go', 'Down Down Down', 'Drift Away']"
6,Pepper,"['reggae fusion', 'reggae rock']",52,1YK8JdPbiaMSnf4hrlBkGT,"['Stone Love', 'Got Me On The Run (with Stick Figure and Pepper)', 'Warning (feat. Stick Figure)', 'Ashes', 'Bring Me Along']"
7,Dirty Heads,"['reggae fusion', 'reggae rock']",59,6GkJh85o22LfD2vgL9DP6f,"['Vacation', 'Lay Me Down (feat. Rome)', 'Stand Tall', 'Oxygen', 'Rescue Me']"
8,Passafire,"['east coast reggae', 'reggae rock']",44,3Il8w8T0de4sdogo2EQEVJ,"['Waste No Time', 'Sleepless', 'Feel It', 'Ghost Man', 'Submersible']"
9,Damian Marley,"['reggae', 'reggae fusion']",63,3QJzdZJYIAcoET1GcfpNGi,"['Welcome To Jamrock', 'Make It Bun Dem', 'Medication', 'Road To Zion', 'Living It Up']"
10,The Movement,"['east coast reggae', 'reggae fusion', 'reggae rock']",49,1qwdTaVUdjYJLLoxtFmsqr,"['Habit', 'Sounds Of Summer (with Slightly Stoopid)', 'Set Sail', 'Siren (with Stick Figure)', 'Take Me To The Ocean']"
11,Collie Buddz,"['dancehall', 'reggae fusion']",58,5Ayl2bJtN5mdCsxZoxs9n1,"[""Smokin' Love (with Collie Buddz)"", 'Love & Reggae', 'Come Around', 'Chill Out', 'Showdown (with Collie Buddz)']"
12,Stick Figure,"['reggae fusion', 'reggae rock']",63,5SXEylV07TC57eanSxxg4R,"[""Smokin' Love (with Collie Buddz)"", 'World on Fire (feat. Slightly Stoopid)', 'Paradise', 'Edge of the Ocean', 'Sound of the Sea']"
13,Ziggy Marley,"['reggae', 'roots reggae']",52,0o0rlxlC3ApLWsxFkUjMXc,"['True To Myself', 'Beach In Hawaii', 'Love Is My Religion', 'Circle Of Peace', 'Exodus - Exodus 40 Mix']"
14,Sublime With Rome,['reggae rock'],49,3XXrhkZKSGd3CUJQFnx5tQ,"['Take It or Leave It', 'Goodbyes', 'You Better Listen', 'Blackout', 'Cool & Collected']"
15,Fortunate Youth,"['reggae rock', 'west coast reggae']",42,53eTH57OzNJCKOohjcWMoB,"['Burn One', 'Good Times (Roll On)', 'Trippin', 'So Rebel', 'Love Is the Most High']"
16,Stephen Marley,"['reggae', 'roots reggae']",57,0CIwCGmQMqHqiblnZlFia1,"['Hey Baby', 'Break Us Apart', 'Rock Stone', 'Lonely Avenue', 'Tight Ship']"
17,Trevor Hall,"['high vibe', 'south carolina indie']",56,3RMHexittaAZkf8zukkZB8,"['Green Mountain State', 'Akaal', 'The Lime Tree', 'Pacific Coast Highway (with Trevor Hall)', 'A Reminder (Remix)']"
18,DISPATCH,"['jam band', 'modern folk rock']",49,6v4jPZO3UIDNJIgdxRxtr9,"['Only the Wild Ones', 'The General', 'Bang Bang', 'Two Coins', 'Midnight Lorry']"
19,Citizen Cope,['alternative rock'],51,7enBrBojgBJuPPdqTq4Z5F,"['Let The Drummer Kick', 'Sideways', 'Bullet and a Target', 'Dfw', ""Son's Gonna Rise (feat. Robert Randolph) - New Radio Mix""]"
